"tree_ID","latitude","longitude","GUD","SRS","GUD_DOY","SRS_DOY","pheno_lag","dNDVI","NDVIseas","ratio","gup_rate","rain_sum","MAP","soil_texture","slope","elevation","curvature","admin","resid_trend"
"tree_1001645",-8.18902,35.14294,116,127.666666666667,297,307.666666666667,-11.6666666666667,0.0104732587513223,0.522758070212081,0.0171531665150131,165,1130.8991596944,1271.15120611984,0.42127160193826,2.95755982398987,1706,0,"United Republic of Tanzania",42.6214994929276
"tree_1002452",-6.68248,31.07038,46,117,227,297,-71,0.36928691405375,0.608733336707239,0.606648086748949,145,1116.6596788168,956.562130252017,1.40919601052306,1.31593251228333,958,-6,"United Republic of Tanzania",-46.3893708351628
"tree_1002479",-5.79146,31.59522,66,139,247,319,-73,0.243804678532622,0.462383220879459,0.527278386246158,200,1264.74705145974,1126.14532715715,2.66204233043532,1.31480872631073,1076,0,"United Republic of Tanzania",-21.6786139006985
"tree_1003861",-11.00413,36.18927,136,151,317,331,-15,0.023275139078009,0.714727615570683,0.0391497555341832,95,1232.41886141753,1219.64579533194,1.71717734659647,5.46617841720581,711,-6,"United Republic of Tanzania",42.5694204822548
"tree_1003902",-6.50957,32.04739,71,140,252,320,-69,0.399199354007858,0.498148114350487,0.801366787322594,145,1318.37640190125,1070.75008714527,2.99930764576493,1.85433411598206,1155,-6,"United Republic of Tanzania",-15.9353603284605
"tree_1005090",-3.85311,31.39482,116,125,297,305,-9,0.110998313857986,0.495336196528493,0.224086821508109,45,1260.1403593719,1349.262352705,0.962872819803777,2.62447667121887,1096,0,"United Republic of Tanzania",31.8934582963483
"tree_1005290",-6.22227,32.6795,52.25,127.5,233.25,307.5,-75.25,0.150347045090141,0.516742395006528,0.291406514640201,175,1187.47936139291,1092.16622808611,2.73900669918,3.81981062889099,1117,2,"United Republic of Tanzania",-35.1174999605167
"tree_1006884",-10.63417,35.99492,96,142,277,322,-46,0.336277758843579,0.517212951863856,0.65017273374874,180,1344.2707975365,1350.90090186107,0.423186906559521,12.7691783905029,1099,4,"United Republic of Tanzania",11.975082287202
"tree_1007666",-5.90685,36.05513,103.5,138,284.5,318,-34.5,0.128505966013827,0.625746209841398,0.19924289040856,102.5,939.018299888179,954.89235180011,0.181139942048859,32.9737854003906,1235,-4,"United Republic of Tanzania",16.4645324293172
"tree_1008772",-5.52814,35.03855,91,131,272,311,-40,0.03164207279383,0.600655501629222,0.0526792357815817,75,848.278638089211,1349.8241733741,1.08713755517855,3.81952857971191,1259,-12,"United Republic of Tanzania",10.0659880331826
