tree_id_num,lon_tr,lat_tr
tree_10,29.66403931,-25.50607684
tree_261161,29.67602882,-25.50481478
tree_175476,29.66205609,-25.50454434
tree_106319,29.66521122,-25.49534932
tree_1926341,39.8389495,-4.973465375
tree_1909929,39.82912352,-4.981668772
tree_1000054,31.2798845,-3.708699898
tree_1461607,31.28096626,-3.709691517
tree_1803445,31.28376081,-3.709330928
tree_1000067,33.47495573,-5.494876887
tree_513774,35.29123068,-10.75992519
tree_100011,31.01317379,-25.8672066
tree_1000131,34.67706147,-9.414387805
tree_441639,34.67165267,-9.420427669
tree_1397581,34.68463379,-9.421599582
tree_1305509,34.66741578,-9.405373083
tree_1066733,34.67111179,-9.422050318
tree_100017,30.11639511,-30.99658334
tree_1000211,34.14420455,-9.417993694
tree_363477,34.14465528,-9.416280896
tree_1000212,30.82157887,-5.217493895
tree_1875850,30.82662708,-5.233179511
tree_1000281,31.82067433,-5.253282341
tree_1931894,31.83041017,-5.238768639
tree_1109288,31.80345631,-5.239760258
tree_1000290,31.78732006,-4.684543539
tree_1409686,31.78001818,-4.680396767
tree_886478,31.78037877,-4.690943992
tree_803114,31.77929701,-4.688059281
tree_1000299,33.76901414,-4.500823508
tree_2006439,33.78641245,-4.506052046
tree_1448495,33.80858853,-4.507314107
tree_100030,28.31625704,-32.49879659
tree_273057,28.30841428,-32.50916352
tree_150373,28.32292789,-32.50086997
tree_1000304,31.23760571,-5.384446544
tree_782981,31.23850718,-5.381651981
tree_1066817,31.23895791,-5.397067155
tree_100036,28.94584111,-32.15010714
tree_112782,27.13605735,-33.42424793
tree_228814,27.1359672,-33.41117659
tree_1000443,33.96093638,-7.243552634
tree_1410338,33.9603955,-7.244363959
tree_1000451,33.25481758,-6.250130285
tree_1000455,31.25311094,-3.34432484
tree_1467380,31.25464343,-3.34432484
tree_100050,18.86429266,-30.72181461
tree_216776,18.91414375,-31.05689182
tree_87985,18.93433659,-30.60480352
tree_89751,18.34802291,-30.54368371
tree_182080,18.60412949,-31.20320076
tree_93624,18.97445185,-31.06392331
tree_286883,18.60971858,-31.21771446
tree_278013,18.86438281,-30.65952288
tree_102889,18.90017102,-30.54197091
tree_262093,19.18377232,-30.54206106
tree_1000504,30.89658089,-3.675345427
tree_1834013,30.89432722,-3.677959696
tree_1477862,30.89883456,-3.678139991
tree_1000505,38.20486096,-5.758827943
tree_100052,28.70857518,-24.26844567
tree_234925,28.70992738,-24.26637229
tree_144076,28.71073869,-24.25699698
tree_94369,28.73408667,-24.25276006
tree_125830,28.71218104,-24.25681668
tree_1000531,31.59413576,-5.258781322
tree_318670,31.59386532,-5.259232058
tree_459292,31.58881711,-5.260223677
tree_1000532,37.97318403,-8.206775664
tree_1457321,37.97426579,-8.205784045
tree_282059,23.41273106,-33.78105062
tree_8996,23.41507487,-33.78069003
tree_74555,23.41940191,-33.78141121
tree_10006,29.99280408,-31.03372399
tree_100060,27.41136516,-32.73083553
tree_1000610,34.04296985,-5.091107495
tree_1340256,34.04774762,-5.092910439
tree_1704998,33.99402021,-5.077495265
tree_1408377,33.97572044,-5.120495488
tree_1823983,34.08362599,-5.114455625
tree_1294853,33.97572044,-5.11977431
tree_100063,30.06681446,-25.51139552
tree_96399,30.06789622,-25.51040391
