"tree_ID","rainyear","GUD","GUD_DOY","latitude","longitude"
"tree_1000299",2020,81,262,-4.50082486200297,33.7690130692025
"tree_1000299",2021,51,232,-4.50082486200297,33.7690130692025
"tree_1000813",2021,46,227,-5.34306878717994,31.2042496207868
"tree_1000877",2019,91,272,-5.92064276932962,32.6618316549351
"tree_1000911",2019,121,302,-6.32657703373006,34.2236228807024
"tree_1000911",2021,76,257,-6.32657703373006,34.2236228807024
"tree_1000911",2022,141,322,-6.32657703373006,34.2236228807024
"tree_1000924",2019,76,257,-10.1661261277091,35.4649429728596
"tree_1000924",2020,91,272,-10.1661261277091,35.4649429728596
"tree_1001645",2020,96,277,-8.18901868892491,35.1429379084871
"tree_1001645",2021,121,302,-8.18901868892491,35.1429379084871
"tree_1001645",2022,131,312,-8.18901868892491,35.1429379084871
"tree_1002059",2019,81,262,-7.57637833609093,34.672373433418
"tree_1002059",2020,91,272,-7.57637833609093,34.672373433418
"tree_1002059",2021,111,292,-7.57637833609093,34.672373433418
"tree_1002059",2022,141,322,-7.57637833609093,34.672373433418
"tree_1002059",2023,121,302,-7.57637833609093,34.672373433418
"tree_1002452",2021,46,227,-6.6824757252098,31.0703829480613
"tree_1002479",2021,66,247,-5.79146261181129,31.5952191420519
"tree_1002512",2019,101,282,-10.2076849495272,35.1046253122359
"tree_1002512",2020,61,242,-10.2076849495272,35.1046253122359
"tree_1002685",2019,151,332,-11.3255994200303,34.8366199616206
"tree_1003043",2019,136,317,-6.60350950465432,32.6879753644114
"tree_1003043",2020,56,237,-6.60350950465432,32.6879753644114
"tree_1003043",2021,81,262,-6.60350950465432,32.6879753644114
"tree_1003861",2019,136,317,-11.0041339068853,36.1892704297792
"tree_1003861",2020,136,317,-11.0041339068853,36.1892704297792
"tree_1003902",2021,71,252,-6.50957408186243,32.0473942843766
"tree_1004106",2021,76,257,-6.90477974912829,31.3516407470074
"tree_1004628",2021,NA,NA,-5.76667000995413,31.7529732191207
"tree_1004628",2022,61,242,-5.76667000995413,31.7529732191207
"tree_1004661",2022,121,302,-7.09237413044675,30.9536436824821
"tree_1004858",2019,81,262,-5.76180067160377,35.1665577667672
"tree_1004858",2020,116,297,-5.76180067160377,35.1665577667672
"tree_1004858",2021,106,287,-5.76180067160377,35.1665577667672
"tree_1005090",2022,116,297,-3.85311367938364,31.394822681609
"tree_1005273",2019,111,292,-10.1123092370951,35.1501527339916
