"tree_ID","latitude","longitude","rainyear","GUD","GUD_DOY","SRS","SRS_DOY","rain_sum","rain_var","ant_rain_sum"
"tree_1000299",-4.50082,33.76901,2020,81,262,113,293,1017.68418127204,48.7766473942971,1322.84565345384
"tree_1000299",-4.50082,33.76901,2021,51,232,121,301,1019.81147170067,47.9291765854651,1017.68418127204
"tree_1000813",-5.34307,31.20425,2021,46,227,120,300,1191.79735469818,51.832460269752,1070.54418305642
"tree_1000877",-5.92064,32.66183,2019,91,272,132,312,1344.93294314443,63.1539504679972,1176.65340696648
"tree_1000911",-6.32658,34.22362,2019,121,302,140,320,1218.14569723971,64.0859316003961,813.331316237483
"tree_1000911",-6.32658,34.22362,2021,76,257,160,340,1397.77506804466,106.168630819997,809.132978849516
"tree_1000911",-6.32658,34.22362,2022,141,322,137,317,740.765164487751,41.5368832012834,1397.77506804466
"tree_1000924",-10.16613,35.46494,2019,76,257,140,320,1598.77011342032,93.5809138929065,1315.27644683234
"tree_1000924",-10.16613,35.46494,2020,91,272,165,345,1318.34412010293,82.4416134072548,1598.77011342032
"tree_1001645",-8.18902,35.14294,2020,96,277,128,308,1013.69743877347,37.0053587894132,1458.67626859248
"tree_1001645",-8.18902,35.14294,2021,121,302,115,295,1341.07991099358,66.2473622923612,1013.69743877347
"tree_1001645",-8.18902,35.14294,2022,131,312,140,320,1037.92012931616,38.3768733100738,1341.07991099358
"tree_1002059",-7.57638,34.67237,2019,81,262,144,324,1029.40722219273,43.6056853613328,652.752568352967
"tree_1002059",-7.57638,34.67237,2020,91,272,146,326,675.687279032543,20.0450108279227,1029.40722219273
"tree_1002059",-7.57638,34.67237,2021,111,292,163,343,1057.757376194,68.729741849005,675.687279032543
"tree_1002059",-7.57638,34.67237,2022,141,322,160,340,574.27649851318,18.1148716202391,1057.757376194
"tree_1002059",-7.57638,34.67237,2023,121,302,145,325,835.025711834431,30.4452150848596,574.27649851318
"tree_1002452",-6.68248,31.07038,2021,46,227,117,297,1116.6596788168,40.0043773610463,956.562130252017
"tree_1002479",-5.79146,31.59522,2021,66,247,139,319,1264.74705145974,67.8914191755034,1126.14532715715
"tree_1002512",-10.20768,35.10463,2019,101,282,140,320,1379.66519384016,80.3480620916544,1229.94252994843
"tree_1002512",-10.20768,35.10463,2020,61,242,147,327,1201.25450082263,62.7140664445484,1379.66519384016
"tree_1002685",-11.3256,34.83662,2019,151,332,143,323,1145.83264025371,51.5149945113888,1291.75485870894
"tree_1003043",-6.60351,32.68798,2019,136,317,134,314,1292.68323182014,54.1234657709572,1065.09452867508
"tree_1003043",-6.60351,32.68798,2020,56,237,129,309,1024.88126732255,30.7849388535822,1292.68323182014
"tree_1003043",-6.60351,32.68798,2021,81,262,140,320,1279.10909152031,68.2796326027056,1024.88126732255
"tree_1003861",-11.00413,36.18927,2019,136,317,140,320,1185.13071435554,71.9330525487051,1254.16087630834
"tree_1003861",-11.00413,36.18927,2020,136,317,162,342,1279.70700847951,67.5858016442909,1185.13071435554
"tree_1003902",-6.50957,32.04739,2021,71,252,140,320,1318.37640190125,73.8286840918374,1070.75008714527
"tree_1004106",-6.90478,31.35164,2021,76,257,140,320,1010.84889018536,35.192516053088,891.553472853683
"tree_1004628",-5.76667,31.75297,2022,61,242,125,305,1271.20545700332,65.6847995741811,1242.11267924309
"tree_1004661",-7.09237,30.95364,2022,121,302,124,304,1294.93035692016,45.6055287432845,1122.43290269375
"tree_1004858",-5.7618,35.16656,2019,81,262,140,320,1200.53955870622,59.4640590412251,694.323634266853
"tree_1004858",-5.7618,35.16656,2020,116,297,131,311,833.298597483081,38.6411703920224,1200.53955870622
"tree_1004858",-5.7618,35.16656,2021,106,287,165,345,1088.74947955273,71.0948724600978,833.298597483081
"tree_1005090",-3.85311,31.39482,2022,116,297,125,305,1260.1403593719,53.7232390246366,1349.262352705
"tree_1005273",-10.11231,35.15015,2019,111,292,140,320,1536.08096279646,91.8921791066345,1349.13250972331
"tree_1005290",-6.22227,32.6795,2019,21,202,132,312,1183.73905502632,52.746726494528,1046.28894424438
"tree_1005290",-6.22227,32.6795,2020,61,242,116,296,1004.54748563236,37.4922210339029,1183.73905502632
"tree_1005290",-6.22227,32.6795,2021,46,227,140,320,1119.23426246643,52.8648652166231,1004.54748563236
"tree_1005290",-6.22227,32.6795,2023,81,262,122,302,1442.39664244652,83.219466248451,1134.08942744136
"tree_100577",-24.91787,31.20059,2019,111,292,112,292,572.90180223041,23.8195643511058,591.112627744675
"tree_1006884",-10.63417,35.99492,2020,96,277,142,322,1344.2707975365,79.8467637880885,1350.90090186107
"tree_1006935",-6.96257,31.29855,2021,66,247,137,317,957.586912721395,29.1434669019608,820.305659107144
"tree_100765",-27.5206,30.57317,2023,106,287,100,280,1037.85997796059,78.9864475691787,1012.83121411502
"tree_1007666",-5.90685,36.05513,2020,126,307,131,311,793.500638148398,31.0650466592419,1246.01098788157
"tree_1007666",-5.90685,36.05513,2023,81,262,145,325,1084.53596162796,54.7817933413105,663.773715718649
"tree_1007886",-9.81969,39.7498,2022,121,302,159,339,856.127602815628,59.1196414152464,1015.9595489502
"tree_100814",-24.0603,30.5024,2021,116,297,112,292,570.57412314415,30.6605046476812,709.796056943014
"tree_100814",-24.0603,30.5024,2022,111,292,110,290,568.224707901478,39.2533813161074,570.57412314415
"tree_100814",-24.0603,30.5024,2023,121,302,116,296,571.175216913223,41.7459386815278,568.224707901478
"tree_1008392",-10.58369,36.36046,2019,56,237,140,320,1283.81191711668,82.6467626847527,1222.47300973302
"tree_1008577",-6.27771,32.06551,2021,26,207,139,319,1297.29187369347,67.0869990555216,1034.94456491643
"tree_100873",-26.82637,25.36342,2021,136,317,91,271,686.551368713379,36.2951543044638,603.423693995955
"tree_100873",-26.82637,25.36342,2023,146,327,160,340,400.336548118412,13.4707007958436,460.223245836794
"tree_1008772",-5.52814,35.03855,2020,91,272,131,311,848.278638089211,42.0330801730072,1349.8241733741
"tree_1010186",-5.26185,34.03648,2019,81,262,133,313,1290.00345500708,57.5621776888209,782.663260877133
"tree_1010186",-5.26185,34.03648,2020,81,262,130,310,902.445943370017,43.0281156799496,1290.00345500708
"tree_1010186",-5.26185,34.03648,2021,151,332,120,300,910.562307238579,43.3941532505534,902.445943370017
"tree_1010469",-10.21354,38.29798,2020,96,277,175,355,956.550858961562,54.7821116758229,1103.6461878866
"tree_1010788",-6.98231,31.29476,2021,111,292,137,317,957.586912721395,29.1434669019608,820.305659107144
"tree_1011110",-11.11051,39.0965,2020,106,287,171,351,922.164743218767,41.0110394865358,1019.22121957888
"tree_1011110",-11.11051,39.0965,2021,111,292,175,355,872.253586530685,30.9723534923393,922.164743218767
"tree_1011110",-11.11051,39.0965,2023,111,292,137,317,1268.06757526845,46.8363439317326,942.911579221487
"tree_1011136",-5.76378,34.14628,2021,116,297,117,297,1280.09576630592,91.9958495625937,899.419164376628
"tree_1011136",-5.76378,34.14628,2022,146,327,133,313,758.633354991674,40.5692980139297,1280.09576630592
"tree_1011587",-4.58087,33.7865,2019,91,272,132,312,1313.19051776081,60.0706215132972,932.083736181259
"tree_1011587",-4.58087,33.7865,2020,116,297,127,307,1018.46713982837,47.2351833824045,1313.19051776081
"tree_1011587",-4.58087,33.7865,2021,106,287,116,296,1027.36339759827,48.3602514746029,1018.46713982837
"tree_1011606",-5.78127,31.62686,2021,81,262,139,319,1248.81089174841,64.4318630420001,1090.15729183928
"tree_1012210",-8.37202,33.66715,2019,96,277,140,320,1108.56484479923,45.3731650386301,816.307634515688
"tree_1012210",-8.37202,33.66715,2020,81,262,146,326,803.45686101541,27.7225848345068,1108.56484479923
"tree_1012210",-8.37202,33.66715,2021,81,262,163,343,1274.35356235504,57.4194033576254,803.45686101541
"tree_1012210",-8.37202,33.66715,2022,31,212,145,325,899.286754518118,33.8142555824634,1274.35356235504
"tree_1012210",-8.37202,33.66715,2023,56,237,143,323,1060.46838083863,38.4045018823127,899.286754518118
"tree_1012261",-11.27061,36.31647,2022,131,312,146,326,1230.20968921721,70.9020716333754,1078.77413082123
"tree_1012954",-5.46729,34.82905,2019,76,257,139,319,1273.19570256904,67.4926311692945,797.382536709309
"tree_1012954",-5.46729,34.82905,2020,146,327,131,311,812.57801207155,31.9405367318765,1273.19570256904
"tree_1012954",-5.46729,34.82905,2022,161,342,135,315,726.10181219317,38.3127064204001,1229.26773691177
