system:index,latitude,longitude,sand_0-5cm_mean,sand_100-200cm_mean,sand_15-30cm_mean,sand_30-60cm_mean,sand_5-15cm_mean,sand_60-100cm_mean,tree_id_num,.geo
00000000000000000000_0,-17.915893916688397,30.152700387907082,526,453,474,449,504,450,tree_4349687,"{""geodesic"":false,""type"":""Point"",""coordinates"":[30.152700387907082,-17.915893916688397]}"
00000000000000000001_0,-19.032106313452843,30.935510358762187,574,537,577,569,578,537,tree_4138163,"{""geodesic"":false,""type"":""Point"",""coordinates"":[30.935510358762187,-19.032106313452843]}"
00000000000000000002_0,-14.140494559075586,25.917137896058065,615,542,580,561,607,550,tree_3474025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.917137896058065,-14.140494559075586]}"
00000000000000000003_0,-27.209995026966645,30.315638235767516,496,430,484,452,492,436,tree_270671,"{""geodesic"":false,""type"":""Point"",""coordinates"":[30.315638235767516,-27.209995026966645]}"
00000000000000000004_0,-18.355034021786583,32.79381325876246,483,415,438,440,474,426,tree_4488065,"{""geodesic"":false,""type"":""Point"",""coordinates"":[32.79381325876246,-18.355034021786583]}"
00000000000000000005_0,-32.9601798427122,25.231155988422287,520,496,473,470,509,472,tree_154233,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.231155988422287,-32.9601798427122]}"
00000000000000000006_0,-7.082313210301222,31.429595717880808,738,593,719,614,744,598,tree_1044489,"{""geodesic"":false,""type"":""Point"",""coordinates"":[31.429595717880808,-7.082313210301222]}"
00000000000000000007_0,-1.759878792729817,35.23539076483646,491,422,459,417,493,419,tree_637640,"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.23539076483646,-1.759878792729817]}"
00000000000000000008_0,-29.11926518691199,31.53222407370734,593,518,576,535,610,518,tree_121667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[31.53222407370734,-29.11926518691199]}"
00000000000000000009_0,-21.042833799112707,24.421239079761943,700,709,693,706,723,716,tree_5018475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[24.421239079761943,-21.042833799112707]}"
0000000000000000000a_0,-13.193995083918802,28.016083093836727,479,325,432,348,473,328,tree_4091799,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.016083093836727,-13.193995083918802]}"
0000000000000000000b_0,-9.971897521712167,30.66011721389363,651,565,597,569,642,558,tree_3187772,"{""geodesic"":false,""type"":""Point"",""coordinates"":[30.66011721389363,-9.971897521712167]}"
0000000000000000000c_0,-12.230536590062393,31.710157283173057,608,506,583,540,595,527,tree_3532906,"{""geodesic"":false,""type"":""Point"",""coordinates"":[31.710157283173057,-12.230536590062393]}"
0000000000000000000d_0,-33.78080508299042,22.926481250141727,600,524,574,525,587,523,tree_21960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[22.926481250141727,-33.78080508299042]}"
0000000000000000000e_0,-27.578123636669943,30.539641892713846,526,448,496,460,511,444,tree_60265,"{""geodesic"":false,""type"":""Point"",""coordinates"":[30.539641892713846,-27.578123636669943]}"
0000000000000000000f_0,-14.826260523900855,26.01000286813142,595,558,577,569,592,563,tree_2908826,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.01000286813142,-14.826260523900855]}"
00000000000000000010_0,-14.813970965740477,22.568020852868496,741,754,765,745,758,747,tree_2754626,"{""geodesic"":false,""type"":""Point"",""coordinates"":[22.568020852868496,-14.813970965740477]}"
00000000000000000011_0,-18.470558990890527,29.078098573233785,482,492,462,497,459,485,tree_4528149,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.078098573233785,-18.470558990890527]}"
00000000000000000012_0,-30.619956040290905,28.929394731161086,321,291,304,303,325,290,tree_237755,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.929394731161086,-30.619956040290905]}"
00000000000000000013_0,-13.2573227210217,26.81833220220397,489,358,420,364,462,355,tree_2398694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[26.81833220220397,-13.2573227210217]}"
00000000000000000014_0,-12.881533792471144,28.123470024211066,423,344,392,361,424,349,tree_2468597,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.123470024211066,-12.881533792471144]}"
00000000000000000015_0,-11.054559818411391,29.479993464521268,675,599,669,638,696,619,tree_4025685,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.479993464521268,-11.054559818411391]}"
00000000000000000016_0,-9.540852373533436,37.24259658325295,768,632,751,656,773,636,tree_1685607,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.24259658325295,-9.540852373533436]}"
00000000000000000017_0,-20.62786665476543,25.49444111873614,666,657,663,677,687,681,tree_5018216,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.49444111873614,-20.62786665476543]}"
00000000000000000018_0,-12.62432470085066,28.48062177879619,494,426,467,444,499,435,tree_2130175,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.48062177879619,-12.62432470085066]}"
00000000000000000019_0,-16.36463344291219,25.80579349154827,557,513,549,524,570,504,tree_3396136,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.80579349154827,-16.36463344291219]}"
0000000000000000001a_0,-8.56971753915295,30.421332980933556,687,600,644,589,673,597,tree_2148603,"{""geodesic"":false,""type"":""Point"",""coordinates"":[30.421332980933556,-8.56971753915295]}"
0000000000000000001b_0,-7.514326449190509,36.32089642640528,604,523,569,533,599,526,tree_395531,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.32089642640528,-7.514326449190509]}"
0000000000000000001c_0,-26.964832310752218,32.387878351921,493,504,502,513,500,508,tree_80544,"{""geodesic"":false,""type"":""Point"",""coordinates"":[32.387878351921,-26.964832310752218]}"
0000000000000000001d_0,-23.724148680148772,30.344402235292808,610,530,599,546,613,535,tree_6461,"{""geodesic"":false,""type"":""Point"",""coordinates"":[30.344402235292808,-23.724148680148772]}"
0000000000000000001e_0,-17.681032280162572,31.022571296144175,466,286,384,299,427,284,tree_4508359,"{""geodesic"":false,""type"":""Point"",""coordinates"":[31.022571296144175,-17.681032280162572]}"
0000000000000000001f_0,-27.16771105935874,25.535275350504982,663,566,608,572,671,565,tree_98653,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.535275350504982,-27.16771105935874]}"
00000000000000000020_0,-12.273372993856759,27.89005744558205,541,424,510,468,534,428,tree_3908465,"{""geodesic"":false,""type"":""Point"",""coordinates"":[27.89005744558205,-12.273372993856759]}"
00000000000000000021_0,-32.198430068542436,28.633506296242473,400,330,380,352,407,328,tree_272151,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.633506296242473,-32.198430068542436]}"
00000000000000000022_0,-16.247560137989332,34.64702686617565,636,562,614,569,631,564,tree_4693022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.64702686617565,-16.247560137989332]}"
00000000000000000023_0,-12.922369863345814,34.21612696219684,595,491,557,511,582,487,tree_4669615,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.21612696219684,-12.922369863345814]}"
00000000000000000024_0,-8.043920149951404,38.93421270616574,592,561,570,536,587,546,tree_1943910,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.93421270616574,-8.043920149951404]}"
