"tree_id_num","lon_tr","lat_tr"
"tree_4349687",30.15375741,-17.91551298
"tree_4138163",30.93505826,-19.03126511
"tree_3474025",25.91721055,-14.14097278
"tree_270671",30.31688121,-27.21058045
"tree_4488065",32.79298031,-18.35471023
"tree_154233",25.23125904,-32.9602602
"tree_1044489",31.42907723,-7.081918671
"tree_637640",35.23597078,-1.759266295
"tree_121667",31.5320578,-29.11899707
"tree_5018475",24.42194114,-21.04181503
"tree_4091799",28.01564455,-13.1938861
"tree_3187772",30.65928557,-9.972565389
"tree_3532906",31.7106661,-12.22994189
"tree_21960",22.92557867,-33.78159151
"tree_60265",30.53891237,-27.57865154
"tree_2908826",26.01096308,-14.8256409
"tree_2754626",22.56835219,-14.81419221
"tree_4528149",29.07794752,-18.47009867
"tree_237755",28.92817237,-30.61931723
"tree_2398694",26.81939834,-13.25834136
"tree_2468597",28.12300923,-12.88215702
"tree_4025685",29.48097855,-11.0546926
"tree_1685607",37.24200446,-9.540774205
"tree_5018216",25.49450613,-20.62812944
"tree_2130175",28.48089148,-12.62424582
"tree_3396136",25.80596957,-16.3636426
"tree_2148603",30.42165897,-8.568973195
"tree_395531",36.31989425,-7.513813995
"tree_80544",32.38917196,-26.96547016
"tree_6461",30.34365476,-23.72314515
"tree_4508359",31.02313151,-17.68140066
"tree_98653",25.53442216,-27.16694919
"tree_3908465",27.89007025,-12.27285197
"tree_272151",28.63411406,-32.19941767
"tree_4693022",34.64651802,-16.24762138
"tree_4669615",34.21678903,-12.92236093
"tree_1943910",38.93297555,-8.043609199
"tree_198973",31.07014646,-27.77868822
"tree_1451583",31.01007554,-4.269866333
"tree_1097366",37.91990736,-7.066142907
"tree_59033",30.30687494,-30.80781506
"tree_4340816",30.92892828,-17.51327609
"tree_4793223",33.33497469,-11.37417259
"tree_1265596",33.25914462,-8.352092981
"tree_4681654",35.38175394,-14.16125415
"tree_5022947",29.04457184,-21.80328858
"tree_3845991",28.45339675,-14.27240742
"tree_1815518",35.55734363,-3.261569693
"tree_4192142",30.95552154,-18.09589757
"tree_562508",38.98958765,-7.696632554
"tree_607569",37.02709481,-11.39618426
"tree_1502900",30.74883051,-6.954630798
"tree_4131515",30.18017037,-19.55366824
"tree_4267151",30.7961423,-17.16729107
"tree_3549923",24.84725981,-13.20064714
"tree_2819463",25.28843758,-15.9713219
"tree_4210230",30.92640418,-17.36858981
"tree_1993484",30.00566143,-5.918658962
"tree_616068",31.56637059,-2.551930788
"tree_17536",30.10774103,-31.07266759
"tree_46192",29.06798979,-28.58235067
"tree_534616",38.49774746,-9.101216367
"tree_2085200",27.8888082,-12.98618691
"tree_845483",31.19235209,-3.471793007
"tree_4294844",31.46439927,-20.12430013
"tree_4766231",34.86458272,-14.41772299
"tree_267908",31.04147983,-27.98395344
"tree_4699848",33.71692597,-10.59818534
"tree_380133",38.98652267,-9.391851
"tree_2877585",28.35910334,-13.48190646
"tree_4359303",31.51073464,-17.21606071
"tree_177803",26.49439363,-32.54720564
"tree_2702239",28.34323752,-14.53671907
"tree_4266497",30.44664381,-17.94066406
"tree_3203605",27.6618189,-13.770648
"tree_240872",28.04094923,-26.29198029
"tree_4054876",29.44960751,-12.20578244
"tree_3940334",31.21621165,-10.48793704
"tree_3980018",30.0548522,-12.39310836
"tree_922520",34.31232807,-2.061079183
"tree_224430",30.03814783,-28.17858128
"tree_4147752",30.17620392,-17.8808063
"tree_3550231",23.37949185,-14.50192224
"tree_1443805",39.00283921,-9.125465969
"tree_4984547",32.9522121,-13.31260824
"tree_4939957",34.80211111,-16.15540077
"tree_200721",26.06691831,-33.26937501
"tree_4633808",34.82401674,-15.52455054
"tree_3522354",28.00311417,-13.96437438
"tree_2616063",28.19242216,-12.85619462
"tree_4594194",31.54003229,-17.40753341
"tree_283226",26.47077521,-25.78066527
"tree_2315991",29.26318421,-15.67257402
"tree_1885989",37.15086618,-9.556369674
"tree_2565250",28.73708829,-13.08228384
"tree_111497",29.19518669,-30.70207237
"tree_3881588",32.79927719,-11.7515306
"tree_3500934",25.71239733,-16.84358639
"tree_1933377",32.70654558,-7.056407008
"tree_3583739",24.99176491,-12.41627619
"tree_239491",30.98171262,-28.56314932
"tree_1210590",39.2893253,-10.99944635
"tree_1267042",37.19711142,-3.067572879
"tree_1158945",35.67453429,-11.52924155
"tree_1867937",38.74042228,-8.757124434
"tree_2322188",27.68183146,-15.1335838
"tree_278277",28.14624049,-31.58154864
"tree_2642479",29.92549174,-10.14339437
"tree_2150566",23.13321117,-15.25266828
"tree_1861202",38.50550008,-8.348667387
"tree_352209",38.68344959,-6.036301082
"tree_28807",31.02543373,-27.23924726
"tree_4443647",30.90756353,-16.81364353
"tree_4178905",27.12185578,-19.14845649
"tree_4019005",27.19684242,-13.56835764
"tree_229055",22.30068223,-32.78095738
"tree_4346139",29.04531444,-16.61189405
"tree_73013",30.46886843,-24.99620417
"tree_1471767",38.48233238,-9.945895806
"tree_4789196",34.15702182,-13.5212089
"tree_3421967",31.16699158,-10.5004675
"tree_4957384",34.79183439,-15.49705564
"tree_143824",29.58930776,-25.18443156
"tree_15378",30.151372,-29.68485116
"tree_2634712",28.39408024,-12.51273371
"tree_449430",33.19496019,-5.55960259
"tree_2770396",27.41409588,-12.25256884
"tree_249805",28.02120712,-32.58777189
"tree_3269273",28.29582038,-14.43494286
"tree_5039617",25.57284358,-23.74614144
"tree_204854",25.99191631,-32.63518933
"tree_4508011",31.95831266,-17.93967244
"tree_4879160",34.01810586,-12.46702733
"tree_4226866",31.47945376,-18.25563844
"tree_41039",28.31021721,-31.44659825
"tree_2886891",24.22759165,-13.03144081
"tree_4348170",30.88232248,-16.69924671
"tree_946407",39.02510544,-10.2523062
"tree_1998756",35.14293942,-11.55971131
"tree_4825306",35.36174139,-14.03414657
"tree_3593185",32.9476586,-11.93813534
"tree_3229009",26.55418686,-17.12628807
"tree_3488956",27.38858437,-12.62848274
"tree_1087837",38.27535565,-8.203890953
"tree_3713057",28.90521182,-14.29196937
"tree_3613808",33.04835242,-10.60675107
"tree_1158402",38.66100307,-6.079842189
"tree_2789732",28.66199612,-11.85069254
"tree_441122",39.45113856,-9.027115354
"tree_162362",30.91004604,-27.41638655
"tree_2437090",33.04096039,-10.9834763
"tree_779692",30.71430434,-3.766664559
"tree_4531232",31.12689029,-19.35182862
"tree_4204895",28.8977444,-16.89531691
"tree_1682592",38.05332442,-8.189377251
"tree_2318136",27.2244273,-12.18081166
"tree_2450055",26.00690648,-14.24301943
"tree_2129519",32.92989971,-12.8973919
"tree_3818269",30.59618291,-9.192882095
"tree_217345",29.260543,-29.80429622
"tree_234154",30.40459389,-27.70575912
"tree_81661",29.37899567,-28.33642906
"tree_3236887",30.88023504,-10.98536939
"tree_2352234",26.61476542,-15.32703973
"tree_3685756",29.72780011,-9.012227069
"tree_2057254",31.86238293,-9.797589638
"tree_510472",34.27735117,-6.80742039
"tree_633938",39.50441524,-10.46883982
"tree_4912258",33.90947917,-12.31521941
"tree_386562",34.57402384,-9.663374423
"tree_2945072",29.82678115,-13.52048947
"tree_1342981",38.95650383,-7.438180479
"tree_82297",26.22602711,-27.75371744
"tree_5049609",25.63450389,-20.4237657
"tree_3572801",26.55265437,-14.81572471
"tree_141119",31.03805426,-28.91499391
"tree_26408",31.20194083,-24.87883249
"tree_2901792",28.76404214,-13.54690261
"tree_2790105",27.31610645,-16.27791259
"tree_2385992",23.75017493,-14.16432091
"tree_4513557",25.50101936,-18.11149304
"tree_1019545",36.36911432,-3.205858712
"tree_385356",37.20369212,-5.421316757
"tree_879810",31.61937683,-1.106870874
"tree_2907939",32.79026253,-11.74936707
"tree_1328160",35.1367193,-10.52310845
"tree_233245",23.19809193,-29.96322577
"tree_3795309",26.6788597,-14.84466197
"tree_4834009",34.0303658,-10.13870496
"tree_564010",31.34974816,-4.954354164
"tree_3326612",25.17359073,-12.45585082
"tree_2551698",26.51939025,-12.14655571
"tree_3854657",25.27464514,-13.94057551
"tree_1670160",39.41273609,-11.06155778
"tree_185257",29.47410036,-29.84991071
"tree_4180710",30.34225401,-18.84195595
"tree_4786529",33.63994074,-10.72700571
"tree_4488682",31.38831551,-21.0053089
"tree_4762820",34.85385527,-16.13872354
"tree_4849675",34.07922527,-11.14898484
"tree_541996",38.55553147,-8.274295931
"tree_1161934",31.56763265,-7.03332932
"tree_4595736",28.92244458,-16.73043765
"tree_5041390",25.71329208,-20.78940281
"tree_4170865",29.79605558,-20.81113179
"tree_2095813",25.69130301,-15.42466917
"tree_1287882",36.3427915,-4.156911869
"tree_4609833",28.80318059,-18.74558857
"tree_2400499",30.64945959,-8.700678282
"tree_3978925",25.24525733,-11.28312565
"tree_4389571",32.72771415,-20.35228245
"tree_1005167",35.98770379,-11.00269165
"tree_4404765",27.94651715,-19.35940098
"tree_4888499",35.43791529,-14.24563195
"tree_1169068",39.15825206,-4.761529264
"tree_210962",29.78627815,-30.04886563
"tree_3047826",22.74864551,-13.35741315
"tree_2784211",31.0300588,-11.88098201
"tree_3830731",30.2926591,-9.876468454
"tree_4318553",30.85446717,-20.73225298
"tree_3458417",28.16691065,-15.44107596
"tree_239669",28.09512735,-31.25016746
"tree_2168468",25.10354677,-16.70394835
"tree_3341299",27.65604952,-14.06921559
"tree_2505602",31.15419075,-11.23183189
"tree_3595599",29.59537466,-14.27682464
"tree_4170163",32.85689428,-20.19037804
"tree_4696618",35.08372918,-14.44197259
"tree_1096486",35.15619098,-8.427095467
"tree_3422602",31.42814646,-10.67192751
"tree_242426",30.65087448,-27.69187645
"tree_4700922",33.34552185,-13.37093349
"tree_4532691",28.89458927,-19.86395497
"tree_1478307",30.62695222,-1.05224166
"tree_2111504",29.04097269,-10.44610873
"tree_1122615",35.15132306,-11.55006556
"tree_1626857",35.39453876,-2.436001465
"tree_2811969",28.43284331,-12.54924334
"tree_2732183",26.38768598,-17.15811004
"tree_539579",31.99177269,-3.726729341
"tree_69421",25.31807025,-32.73642465
"tree_696703",32.3115229,-6.432588255
"tree_4187867",29.7178083,-19.54447322
"tree_145611",27.38432117,-25.86783763
